origin,destination,date,ridership
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-18,65
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-19,118
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-20,110
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-21,93
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-22,107
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-23,77
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-24,53
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-25,47
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-26,125
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-27,112
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-28,114
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-29,95
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-30,94
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-01-31,71
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-01,67
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-02,67
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-03,97
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-04,102
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-05,116
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-06,110
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-07,70
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-08,66
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-09,127
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-10,119
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-11,120
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-12,126
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-13,103
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-14,65
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-15,84
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-16,74
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-17,62
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-18,57
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-19,70
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-20,84
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-21,55
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-22,46
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-23,112
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-24,95
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-25,101
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-26,89
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-27,104
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-02-28,82
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-01,56
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-02,109
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-03,112
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-04,115
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-05,116
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-06,119
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-07,64
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-08,51
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-09,103
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-10,106
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-11,103
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-12,117
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-13,95
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-14,70
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-15,62
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-16,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-17,115
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-18,98
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-19,107
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-20,71
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-21,49
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-22,27
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-23,32
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-24,64
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-25,82
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-26,72
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-27,73
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-28,46
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-29,41
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-30,84
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-03-31,92
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-01,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-02,101
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-03,106
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-04,63
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-05,60
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-06,108
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-07,112
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-08,102
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-09,89
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-10,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-11,63
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-12,44
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-13,99
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-14,99
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-15,104
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-16,98
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-17,97
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-18,53
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-19,52
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-20,85
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-21,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-22,91
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-23,87
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-24,89
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-25,44
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-26,50
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-27,110
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-28,114
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-29,95
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-04-30,109
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-01,68
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-02,69
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-03,54
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-04,96
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-05,89
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-06,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-07,100
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-08,98
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-09,76
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-10,55
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-11,108
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-12,105
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-13,89
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-14,95
BRT01: Sunway-Setia Jaya,BRT06: South Quay-USJ 1,2026-05-15,92
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-01,197
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-02,322
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-03,178
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-04,138
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-05,431
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-06,458
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-07,472
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-08,470
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-09,412
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-10,229
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-11,165
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-12,542
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-13,551
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-14,580
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-15,554
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-16,549
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-17,272
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-18,152
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-19,601
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-20,587
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-21,619
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-22,604
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-23,581
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-24,254
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-25,151
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-26,556
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-27,577
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-28,579
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-29,568
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-30,544
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-01-31,273
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-01,208
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-02,200
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-03,544
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-04,625
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-05,562
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-06,575
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-07,300
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-08,225
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-09,626
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-10,615
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-11,620
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-12,621
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-13,598
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-14,288
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-15,181
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-16,352
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-17,199
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-18,180
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-19,326
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-20,315
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-21,191
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-22,140
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-23,573
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-24,566
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-25,587
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-26,591
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-27,613
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-02-28,264
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-01,205
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-02,591
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-03,601
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-04,589
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-05,595
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-06,582
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-07,253
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-08,181
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-09,526
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-10,548
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-11,555
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-12,534
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-13,493
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-14,275
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-15,200
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-16,614
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-17,540
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-18,561
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-19,457
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-20,180
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-21,185
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-22,166
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-23,125
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-24,324
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-25,391
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-26,455
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-27,449
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-28,240
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-29,194
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-30,571
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-03-31,547
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-01,581
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-02,581
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-03,511
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-04,251
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-05,205
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-06,541
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-07,547
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-08,541
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-09,540
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-10,491
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-11,285
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-12,175
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-13,566
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-14,532
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-15,573
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-16,576
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-17,492
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-18,274
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-19,179
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-20,519
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-21,489
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-22,530
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-23,537
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-24,476
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-25,267
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-26,205
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-27,502
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-28,482
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-29,486
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-04-30,492
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-01,228
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-02,209
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-03,181
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-04,443
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-05,459
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-06,477
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-07,469
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-08,448
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-09,266
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-10,198
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-11,437
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-12,479
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-13,483
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-14,474
BRT01: Sunway-Setia Jaya,BRT07: USJ 7,2026-05-15,465
BRT02: Mentari,A0: All Stations,2026-01-01,795
BRT02: Mentari,A0: All Stations,2026-01-02,973
BRT02: Mentari,A0: All Stations,2026-01-03,783
BRT02: Mentari,A0: All Stations,2026-01-04,796
BRT02: Mentari,A0: All Stations,2026-01-05,1131
BRT02: Mentari,A0: All Stations,2026-01-06,1108
BRT02: Mentari,A0: All Stations,2026-01-07,1319
BRT02: Mentari,A0: All Stations,2026-01-08,1123
BRT02: Mentari,A0: All Stations,2026-01-09,1154
BRT02: Mentari,A0: All Stations,2026-01-10,948
BRT02: Mentari,A0: All Stations,2026-01-11,823
BRT02: Mentari,A0: All Stations,2026-01-12,1134
BRT02: Mentari,A0: All Stations,2026-01-13,1180
BRT02: Mentari,A0: All Stations,2026-01-14,1358
BRT02: Mentari,A0: All Stations,2026-01-15,1242
BRT02: Mentari,A0: All Stations,2026-01-16,1243
BRT02: Mentari,A0: All Stations,2026-01-17,930
BRT02: Mentari,A0: All Stations,2026-01-18,852
BRT02: Mentari,A0: All Stations,2026-01-19,1147
BRT02: Mentari,A0: All Stations,2026-01-20,1266
BRT02: Mentari,A0: All Stations,2026-01-21,1445
BRT02: Mentari,A0: All Stations,2026-01-22,1212
BRT02: Mentari,A0: All Stations,2026-01-23,1232
BRT02: Mentari,A0: All Stations,2026-01-24,936
BRT02: Mentari,A0: All Stations,2026-01-25,849
BRT02: Mentari,A0: All Stations,2026-01-26,1067
BRT02: Mentari,A0: All Stations,2026-01-27,1232
BRT02: Mentari,A0: All Stations,2026-01-28,1353
BRT02: Mentari,A0: All Stations,2026-01-29,1176
BRT02: Mentari,A0: All Stations,2026-01-30,1314
BRT02: Mentari,A0: All Stations,2026-01-31,996
BRT02: Mentari,A0: All Stations,2026-02-01,981
BRT02: Mentari,A0: All Stations,2026-02-02,843
BRT02: Mentari,A0: All Stations,2026-02-03,1267
BRT02: Mentari,A0: All Stations,2026-02-04,1501
BRT02: Mentari,A0: All Stations,2026-02-05,1325
BRT02: Mentari,A0: All Stations,2026-02-06,1408
BRT02: Mentari,A0: All Stations,2026-02-07,1216
BRT02: Mentari,A0: All Stations,2026-02-08,1220
BRT02: Mentari,A0: All Stations,2026-02-09,1374
BRT02: Mentari,A0: All Stations,2026-02-10,1383
BRT02: Mentari,A0: All Stations,2026-02-11,1598
BRT02: Mentari,A0: All Stations,2026-02-12,1452
BRT02: Mentari,A0: All Stations,2026-02-13,1459
BRT02: Mentari,A0: All Stations,2026-02-14,995
BRT02: Mentari,A0: All Stations,2026-02-15,883
BRT02: Mentari,A0: All Stations,2026-02-16,1002
BRT02: Mentari,A0: All Stations,2026-02-17,674
BRT02: Mentari,A0: All Stations,2026-02-18,844
BRT02: Mentari,A0: All Stations,2026-02-19,849
BRT02: Mentari,A0: All Stations,2026-02-20,976
BRT02: Mentari,A0: All Stations,2026-02-21,762
BRT02: Mentari,A0: All Stations,2026-02-22,680
BRT02: Mentari,A0: All Stations,2026-02-23,1203
BRT02: Mentari,A0: All Stations,2026-02-24,1209
BRT02: Mentari,A0: All Stations,2026-02-25,1350
BRT02: Mentari,A0: All Stations,2026-02-26,1313
BRT02: Mentari,A0: All Stations,2026-02-27,1380
BRT02: Mentari,A0: All Stations,2026-02-28,973
BRT02: Mentari,A0: All Stations,2026-03-01,906
BRT02: Mentari,A0: All Stations,2026-03-02,1402
BRT02: Mentari,A0: All Stations,2026-03-03,1439
BRT02: Mentari,A0: All Stations,2026-03-04,1570
BRT02: Mentari,A0: All Stations,2026-03-05,1457
BRT02: Mentari,A0: All Stations,2026-03-06,1543
BRT02: Mentari,A0: All Stations,2026-03-07,909
BRT02: Mentari,A0: All Stations,2026-03-08,959
BRT02: Mentari,A0: All Stations,2026-03-09,1363
BRT02: Mentari,A0: All Stations,2026-03-10,1407
BRT02: Mentari,A0: All Stations,2026-03-11,1543
BRT02: Mentari,A0: All Stations,2026-03-12,1377
BRT02: Mentari,A0: All Stations,2026-03-13,1492
BRT02: Mentari,A0: All Stations,2026-03-14,994
BRT02: Mentari,A0: All Stations,2026-03-15,897
BRT02: Mentari,A0: All Stations,2026-03-16,1382
BRT02: Mentari,A0: All Stations,2026-03-17,1383
BRT02: Mentari,A0: All Stations,2026-03-18,1538
BRT02: Mentari,A0: All Stations,2026-03-19,1254
BRT02: Mentari,A0: All Stations,2026-03-20,861
BRT02: Mentari,A0: All Stations,2026-03-21,805
BRT02: Mentari,A0: All Stations,2026-03-22,834
BRT02: Mentari,A0: All Stations,2026-03-23,699
BRT02: Mentari,A0: All Stations,2026-03-24,1107
BRT02: Mentari,A0: All Stations,2026-03-25,1269
BRT02: Mentari,A0: All Stations,2026-03-26,1139
BRT02: Mentari,A0: All Stations,2026-03-27,1277
BRT02: Mentari,A0: All Stations,2026-03-28,920
BRT02: Mentari,A0: All Stations,2026-03-29,808
BRT02: Mentari,A0: All Stations,2026-03-30,1248
BRT02: Mentari,A0: All Stations,2026-03-31,1286
BRT02: Mentari,A0: All Stations,2026-04-01,1465
BRT02: Mentari,A0: All Stations,2026-04-02,1330
BRT02: Mentari,A0: All Stations,2026-04-03,1368
BRT02: Mentari,A0: All Stations,2026-04-04,963
BRT02: Mentari,A0: All Stations,2026-04-05,936
BRT02: Mentari,A0: All Stations,2026-04-06,1213
BRT02: Mentari,A0: All Stations,2026-04-07,1264
BRT02: Mentari,A0: All Stations,2026-04-08,1367
BRT02: Mentari,A0: All Stations,2026-04-09,1307
BRT02: Mentari,A0: All Stations,2026-04-10,1292
BRT02: Mentari,A0: All Stations,2026-04-11,952
BRT02: Mentari,A0: All Stations,2026-04-12,902
BRT02: Mentari,A0: All Stations,2026-04-13,1217
BRT02: Mentari,A0: All Stations,2026-04-14,1349
BRT02: Mentari,A0: All Stations,2026-04-15,1518
BRT02: Mentari,A0: All Stations,2026-04-16,1332
BRT02: Mentari,A0: All Stations,2026-04-17,1406
BRT02: Mentari,A0: All Stations,2026-04-18,1133
BRT02: Mentari,A0: All Stations,2026-04-19,957
BRT02: Mentari,A0: All Stations,2026-04-20,1339
BRT02: Mentari,A0: All Stations,2026-04-21,1382
BRT02: Mentari,A0: All Stations,2026-04-22,1536
BRT02: Mentari,A0: All Stations,2026-04-23,1350
BRT02: Mentari,A0: All Stations,2026-04-24,1324
BRT02: Mentari,A0: All Stations,2026-04-25,1026
BRT02: Mentari,A0: All Stations,2026-04-26,970
BRT02: Mentari,A0: All Stations,2026-04-27,1315
BRT02: Mentari,A0: All Stations,2026-04-28,1375
BRT02: Mentari,A0: All Stations,2026-04-29,1543
BRT02: Mentari,A0: All Stations,2026-04-30,1443
BRT02: Mentari,A0: All Stations,2026-05-01,951
BRT02: Mentari,A0: All Stations,2026-05-02,960
BRT02: Mentari,A0: All Stations,2026-05-03,910
BRT02: Mentari,A0: All Stations,2026-05-04,1412
BRT02: Mentari,A0: All Stations,2026-05-05,1423
BRT02: Mentari,A0: All Stations,2026-05-06,1565
BRT02: Mentari,A0: All Stations,2026-05-07,1453
BRT02: Mentari,A0: All Stations,2026-05-08,1410
BRT02: Mentari,A0: All Stations,2026-05-09,1060
BRT02: Mentari,A0: All Stations,2026-05-10,1009
BRT02: Mentari,A0: All Stations,2026-05-11,1453
BRT02: Mentari,A0: All Stations,2026-05-12,1424
BRT02: Mentari,A0: All Stations,2026-05-13,1594
BRT02: Mentari,A0: All Stations,2026-05-14,1371
BRT02: Mentari,A0: All Stations,2026-05-15,1375
BRT02: Mentari,BRT01: Sunway-Setia Jaya,2026-01-01,39
